componente,autovalor,varianza_explicada,varianza_acumulada
PC1,3.0627480652466588,0.23559600501897382,0.23559600501897382
PC2,1.6031796878741056,0.12332151445185431,0.3589175194708281
PC3,1.2413940220017246,0.09549184784628653,0.4544093673171147
PC4,1.110512048753338,0.08542400375025679,0.5398333710673715
PC5,0.9951282110302596,0.0765483239254046,0.6163816949927761
PC6,0.8804128415822982,0.06772406473709988,0.684105759729876
PC7,0.8476732506879638,0.06520563466830492,0.7493113943981808
PC8,0.7797989608280764,0.059984535448313586,0.8092959298464945
PC9,0.6848584883107335,0.052681422177748745,0.8619773520242432
PC10,0.5677203760910005,0.0436707981608462,0.9056481501850894
PC11,0.4626023936716945,0.035584799513207276,0.9412329496982966
PC12,0.4081021768784591,0.03139247514449686,0.9726254248427935
PC13,0.35586947704368294,0.02737457515720639,0.9999999999999999
