eps,min_samples,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
0.5,3,0,297,,,
0.5,5,0,297,,,
0.5,10,0,297,,,
1.0,3,1,294,,,
1.0,5,0,297,,,
1.0,10,0,297,,,
1.5,3,7,251,-0.18699229114524468,1.7774724717690291,4.271191273390094
1.5,5,1,277,,,
1.5,10,0,297,,,
2.0,3,9,136,-0.09991101973359659,2.1792142010063835,5.978068593268291
2.0,5,2,185,0.01660098742843174,2.570264377024515,25.12790091368267
2.0,10,2,207,-0.013052970006364102,2.265616087897302,22.240876417914347
2.5,3,1,29,,,
2.5,5,1,35,,,
2.5,10,1,49,,,
3.0,3,1,4,,,
3.0,5,1,4,,,
3.0,10,1,8,,,
