componente,varianza_explicada,varianza_acumulada
PC1,0.2559248724964194,0.2559248724964194
PC2,0.143400424538723,0.3993252970351424
PC3,0.10731968338897503,0.5066449804241174
PC4,0.0972857370260643,0.6039307174501818
PC5,0.06185283751280712,0.6657835549629889
PC6,0.05511392618091791,0.7208974811439068
PC7,0.05436017358135125,0.7752576547252581
PC8,0.0372215851255659,0.812479239850824
PC9,0.033544990646503015,0.8460242304973271
PC10,0.02982371644867028,0.8758479469459974
PC11,0.02272561495041752,0.8985735618964149
PC12,0.018383875321668026,0.916957437218083
PC13,0.01740160960447811,0.9343590468225611
PC14,0.015559330375265218,0.9499183771978263
PC15,0.01251998739268989,0.9624383645905162
PC16,0.010535291764799176,0.9729736563553154
PC17,0.009140858705276169,0.9821145150605916
PC18,0.008070325489358356,0.9901848405499499
PC19,0.007639849751736115,0.9978246903016861
PC20,0.002175309698314382,1.0000000000000004
PC21,6.02836983349187e-18,1.0000000000000004
PC22,4.496251855221285e-18,1.0000000000000004
PC23,0.0,1.0000000000000004
PC24,0.0,1.0000000000000004
PC25,0.0,1.0000000000000004
