Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,f19,1.0,0-1,0-2,0-2,65.2449417,52.9077568,
0,1,0-1,f8,1.0,0-3,0-4,0-4,13.112957,22.3553905,
0,2,0-2,f8,1.0,0-5,0-6,0-6,13.2662659,30.5523663,
0,3,0-3,f12,1.0,0-7,0-8,0-8,4.95855284,6.70661688,
0,4,0-4,f4,-0.486858487,0-9,0-10,0-10,1.45996475,15.6487732,
0,5,0-5,f14,1.0,0-11,0-12,0-12,2.86657715,21.1134243,
0,6,0-6,f12,1.0,0-13,0-14,0-14,10.5268822,9.43894291,
0,7,0-7,Leaf,,,,,0.0555827394,1.98714578,
0,8,0-8,Leaf,,,,,-0.0239392482,4.71947145,
0,9,0-9,Leaf,,,,,0.0397674702,3.47750521,
0,10,0-10,Leaf,,,,,0.0966654643,12.1712675,
0,11,0-11,Leaf,,,,,-0.0733101889,19.3746719,
0,12,0-12,Leaf,,,,,-0.004005644,1.7387526,
0,13,0-13,Leaf,,,,,0.0621013418,3.47750521,
0,14,0-14,Leaf,,,,,-0.0361848734,5.96143723,
