param_model__n_neighbors,param_model__p,param_model__weights,rank_test_recall_condition_1,mean_test_recall_condition_1,std_test_recall_condition_1,mean_test_neg_medical_cost,std_test_neg_medical_cost,mean_test_roc_auc,std_test_roc_auc,mean_train_recall_condition_1,mean_train_neg_medical_cost,mean_train_roc_auc,params,mean_test_medical_cost,std_test_medical_cost,mean_train_medical_cost
7,1,distance,1,0.7954545454545454,0.0867684638994354,-0.5371719858156028,0.20786763269402916,0.9097378621378621,0.04328322765215189,1.0,0.0,1.0,"{'model__n_neighbors': 7, 'model__p': 1, 'model__weights': 'distance'}",0.5371719858156028,0.20786763269402916,-0.0
3,1,uniform,2,0.7953679653679653,0.08792698015368235,-0.5508421985815602,0.20916435377622117,0.8768100899100898,0.050319936399403034,0.8958620689655171,-0.28743859649122805,0.9681148816340407,"{'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'uniform'}",0.5508421985815602,0.20916435377622117,0.28743859649122805
5,1,uniform,3,0.7944155844155845,0.0891412211375723,-0.543936170212766,0.21343890401870225,0.8921886113886114,0.04985988116898409,0.8518077324973876,-0.3874346978557505,0.9554163565985381,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'uniform'}",0.543936170212766,0.21343890401870225,0.3874346978557505
5,1,distance,4,0.7925974025974025,0.08863649842211024,-0.5498315602836878,0.21105681898275105,0.8953119547119546,0.049244109551926166,1.0,0.0,1.0,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'distance'}",0.5498315602836878,0.21105681898275105,-0.0
7,1,uniform,5,0.7907792207792208,0.08766699789868168,-0.5451950354609929,0.20892354452615283,0.9080913752913752,0.04292160347043986,0.8348432601880879,-0.43249456975772765,0.9502622931445255,"{'model__n_neighbors': 7, 'model__p': 1, 'model__weights': 'uniform'}",0.5451950354609929,0.20892354452615283,0.43249456975772765
9,1,distance,6,0.7889177489177487,0.09175471476314088,-0.5508333333333334,0.21512964605544502,0.9146269730269729,0.0387445411098564,1.0,0.0,1.0,"{'model__n_neighbors': 9, 'model__p': 1, 'model__weights': 'distance'}",0.5508333333333334,0.21512964605544502,-0.0
3,1,distance,7,0.7853679653679653,0.09014039053503978,-0.5740248226950354,0.21359370972918057,0.8789237096237095,0.05066321433531684,1.0,0.0,1.0,"{'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'distance'}",0.5740248226950354,0.21359370972918057,-0.0
5,2,uniform,8,0.7833766233766235,0.07818838571984724,-0.5780141843971631,0.18161120410859502,0.8768964701964704,0.046752319930477314,0.8547988505747126,-0.3849106098579783,0.9471696020197244,"{'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'uniform'}",0.5780141843971631,0.18161120410859502,0.3849106098579783
5,2,distance,8,0.7833766233766235,0.07818838571984724,-0.5788563829787234,0.1818134733890878,0.8804500499500498,0.04633286226903718,1.0,0.0,1.0,"{'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'distance'}",0.5788563829787234,0.1818134733890878,-0.0
9,1,uniform,10,0.7825541125541124,0.09153076449647639,-0.5602925531914893,0.21659144935437527,0.913666033966034,0.03885425808086675,0.8197126436781609,-0.4661587301587302,0.9490860071798549,"{'model__n_neighbors': 9, 'model__p': 1, 'model__weights': 'uniform'}",0.5602925531914893,0.21659144935437527,0.4661587301587302
