feature,importance_mean,importance_std
feature_8,0.032142857142857126,0.04909902530309828
feature_5,0.0,0.0
feature_4,0.0,0.0
feature_6,0.0,0.0
feature_1,0.0,0.0
feature_7,0.0,0.0
feature_9,0.0,0.0
feature_2,-0.0011904761904761973,0.040703145231616084
feature_13,-0.0035714285714285735,0.01413612153218801
feature_10,-0.005952380952380954,0.016192226796113627
feature_11,-0.01071428571428571,0.01636634176769942
feature_12,-0.01547619047619047,0.01769770088966488
feature_3,-0.023809523809523822,0.031043820977155488
