param_model__C,param_model__class_weight,param_model__penalty,param_model__solver,rank_test_recall_condition_1,mean_test_recall_condition_1,std_test_recall_condition_1,mean_test_neg_medical_cost,std_test_neg_medical_cost,mean_test_roc_auc,std_test_roc_auc,mean_train_recall_condition_1,mean_train_neg_medical_cost,mean_train_roc_auc,params,mean_test_medical_cost,std_test_medical_cost,mean_train_medical_cost
1.0,balanced,l1,liblinear,1,0.8479653679653678,0.07198596632825811,-0.42166666666666663,0.16886222299439838,0.9224322344322344,0.03514652268791725,0.8752246603970743,-0.3405157337788916,0.9478189161350998,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.42166666666666663,0.16886222299439838,0.3405157337788916
1.0,balanced,l2,liblinear,2,0.837878787878788,0.07565144080496926,-0.4438563829787235,0.17760503442393952,0.9190622044622044,0.03832293254968567,0.8740935214211077,-0.3399805068226121,0.949034056719542,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.4438563829787235,0.17760503442393952,0.3399805068226121
1.0,balanced,l2,lbfgs,3,0.836969696969697,0.07560955235757912,-0.4459840425531915,0.17709164938443914,0.9187024975024974,0.03846747900986952,0.8740935214211077,-0.33976830966304655,0.9490988020280396,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.4459840425531915,0.17709164938443914,0.33976830966304655
0.01,balanced,l2,liblinear,4,0.8348051948051947,0.08714581406286033,-0.4732624113475176,0.21376798325863833,0.8947748917748917,0.05155721391077306,0.8449529780564263,-0.44535115566694516,0.9105865094056818,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.4732624113475176,0.21376798325863833,0.44535115566694516
0.1,balanced,l2,liblinear,5,0.8320779220779221,0.07863203510869224,-0.45663120567375887,0.18655769284707754,0.9178133866133866,0.041124620684848005,0.8552742946708463,-0.39156168198273456,0.9374659268197444,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.45663120567375887,0.18655769284707754,0.39156168198273456
10.0,balanced,l1,liblinear,6,0.8305627705627705,0.0804123944615275,-0.47431737588652484,0.18891208313070942,0.9107527805527805,0.04081041770152262,0.8791353187042843,-0.33038596491228067,0.9513758931304817,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.47431737588652484,0.18891208313070942,0.33038596491228067
0.1,balanced,l2,lbfgs,7,0.8302164502164503,0.07906824195309466,-0.4604609929078014,0.18711666294999915,0.9178517482517482,0.041037118577553156,0.8534404388714733,-0.39387802840434416,0.9375870239646111,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.4604609929078014,0.18711666294999915,0.39387802840434416
10.0,balanced,l2,liblinear,8,0.8287012987012986,0.07741539208777523,-0.47687943262411353,0.1834196797225194,0.9110839826839826,0.04077389888888846,0.8798223615464997,-0.3283826232247285,0.9512773578555199,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.47687943262411353,0.1834196797225194,0.3283826232247285
10.0,balanced,l2,lbfgs,9,0.8277489177489177,0.07793661480563985,-0.4790070921985816,0.18392165743226696,0.911050416250416,0.04080788830826573,0.8798223615464997,-0.32817209690893906,0.9513243840261653,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.4790070921985816,0.18392165743226696,0.32817209690893906
1.0,,l1,liblinear,10,0.8268831168831169,0.07291448024575395,-0.45995567375886526,0.16961102657291757,0.9225768231768232,0.03548014284629281,0.8617006269592477,-0.3647624617098301,0.9475722170303839,"{'model__C': 1.0, 'model__class_weight': None, 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.45995567375886526,0.16961102657291757,0.3647624617098301
