feature,importance_normalized_mean,importance_mean_avg,models_with_positive_importance
feature_8,0.9420289855072465,0.0579365079365079,3
feature_7,0.37860082304526715,0.022619047619047566,2
feature_12,0.3559670781892999,0.0222222222222222,2
feature_5,0.3306494900697794,0.022222222222222168,2
feature_4,0.2158704598318125,0.015079365079365067,2
feature_3,0.1892109500805148,0.003968253968253933,2
feature_2,0.18903202719627818,0.0126984126984127,2
feature_13,0.09420289855072428,0.0015873015873016,1
feature_11,0.043478260869565,-0.006349206349206334,1
feature_10,0.02057613168724262,0.0,1
feature_1,0.0,-0.002380952380952367,0
feature_6,0.0,-0.006349206349206334,0
feature_9,0.0,0.0,0
